Name,Core Status,Database Status,Tags,NPC Role,Met by Party,Race,Class,Subclass,Level,Locations Database,Public Description,Personality Traits,Appearance,Art,Known History,Relationships,[DM] Plot Connections,[DM] Secrets,[DM] True Motivations,Last_Updated,Priority,[DM] Notes
Verrum Thrynn,Active,Alive,,Merchant,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21)",Gnome,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),"A wiry, bespectacled man with a love for precision and efficiency. His shop is a treasure trove of intricate clockwork mechanisms, high-quality implants, and custom prosthetics. He is patient with customers but despises those who misuse technology.","Appreciates small talk. Kind but opinionated. ","A short gnome with a beard that goes all the way down to his feet. They are usually wearing a vest with a comical amount of screwdrivers and tools worn on his person. ",,,,,,,"August 20, 2025 10:29 PM",1 - Trivial,
Grelka Voss,Active,Alive,,Merchant,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21)",Human,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),"A broad-shouldered, no-nonsense woman who forges some of the finest weaponry and armor in Sablemarrow. She distrusts magic entirely, believing only in the strength of steel and machine. Her craftsmanship is unmatched, but she refuses to work with magically enchanted items.",Short but not rude with people. Blunt and direct. Like fairness and common understanding.,"An older woman with short, greying white hair. They have an extra mechanical arm mounted on their back that assists them with their smithing. Often covered in soot and ash.",Grelka_Voss_Token.png,,,,,,"August 20, 2025 10:29 PM",1 - Trivial,
Luther Merek,Active,Alive,,Merchant,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21)",Human,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),"An eccentric older man with a thick mechanical arm and a talent for scavenging rare machine parts. His shop is cluttered with strange devices, half-functional constructs, and “experimental” creations of dubious safety. He’s friendly but often loses track of what he’s saying.",Friendly but seemingly aloof in their own world and interests. A merchant but bad at focusing on the sale.,An older man with wild messy brown hair that shoots out in all directions. Their eyes are wide open and alert. Pudgy.,,,,,,,"August 20, 2025 10:29 PM",1 - Trivial,
Yasmine Dorne,Active,Alive,,Merchant,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21)",Elf,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),"While Sablemarrow distrusts magic, alchemy is accepted due to its scientific applications. Yasmine is a calm, easygoing woman who sells healing potions, stimulants, and chemical enhancers that improve mechanical function. ",Kind and joking but will always tell the truth. Deceptively agreeable to nudge a person to buying.,"A younger looking woman with the characteristics pointed ears of Elves. They have brown, blonde hair down to their shoulder and wear lots of green.",Yasmin_Dorne_Token.png,Beloved by the city of Sablemarrow for being “one of the good ones” when it comes to magic users.,,,,,"August 20, 2025 10:29 PM",1 - Trivial,
Karson Rell,Active,Alive,,Merchant,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21)",Human,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),"A retired engineer who now runs the most popular drinking establishment in town. The Steadfast Cog serves distilled spirits, nutrient-rich tonics, and even experimental energy drinks for enhanced work stamina. Karson is warm and welcoming, with a deep, hearty laugh, but can turn deadly serious if people start questioning the city's technological supremacy.","One of the guys. A classic tavern keeper who doesn’t dish what he can’t take. ","A handsome middle-aged man with a cybernetic arm and a scruffy short brown beard. The mechanical arm is usually holding a drink or cigarette. ",Karson_Rell_Token.png,,,,,,"August 20, 2025 10:29 PM",1 - Trivial,
Fenwick “Fen” Calloway,Active,Alive,,Merchant,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21)",Human,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),"A shifty, thin man who lurks in the alleyways, trading in off-limits tech and illicit cybernetic enhancements. ",Wants to be liked but is too cynical to grow close. Shady. Speaks like venom.,A thin pale man who appears ill or weak. They slide in shadows to hide their appearance and wear long clothes.,Fenwick_Calloway_Token.png,,,,"While he publicly denounces magic like everyone else, he has a stash of enchanted items for those who can pay.",,"August 20, 2025 10:29 PM",1 - Trivial,
The Chrome Bishop,Active,Alive,"Political, Secret, Technological","Boss, Hostile","Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21)",Unknown,,,20,,"The enigmatic leader of the Mechanist Order, a growing movement that spreads technological enlightenment across Geux. Known to possess advanced pre-Shattering technology and knowledge. Operates through a network of representatives called Proxies and maintains strongholds in technologically advanced settlements. Preaches that their movement is not a religion but a path to progress and order.","Speaks of order, progress, and the elimination of chaos. Values logic, efficiency, and technological advancement. Shows no emotion in communications through Proxies. Offers compelling visions of a world free from the random cruelties of magic.","Never seen directly by common folk. Those who claim to have witnessed the Bishop describe a being of perfect geometric precision - neither fully machine nor flesh, but something transcendent. Some say it appears as pure light refracted through crystal, others as an endless array of mechanical components in perfect synchronization. Representations in Mechanist iconography show a crowned figure of chrome and circuitry.",,"Emerged after The Shattering with advanced technological knowledge. Founded the Mechanist Order which has slowly spread across Geux over the past 500 years. Known to grant powerful cybernetic enhancements to faithful followers. Has established technologically advanced communities that prosper under Mechanist influence. Claims to offer a path to restore order to the chaos-ravaged world. ","The False Paragon of Flesh, Zhaerith the Ascendant of Flesh (https://www.notion.so/The-False-Paragon-of-Flesh-Zhaerith-the-Ascendant-of-Flesh-245eccac15008106869fc82d49b05c80?pvs=21), Xi0, the Ascendant of Thread (https://www.notion.so/Xi0-the-Ascendant-of-Thread-24beccac15008034847dd6cf9606a070?pvs=21), Altus, Ascendant of Frame (https://www.notion.so/Altus-Ascendant-of-Frame-245eccac15008160a2b2d61a0a401abd?pvs=21), “—” The Space Between Words, the Ascendant of NaN (https://www.notion.so/The-Space-Between-Words-the-Ascendant-of-NaN-24beccac1500803985e6febadd0db9f3?pvs=21), Harmonic, the Ascendant of Signal (https://www.notion.so/Harmonic-the-Ascendant-of-Signal-24beccac15008066a193fb26a25c1d23?pvs=21)","The party has destroyed 2 of 12 Veins (Memory and Flesh), permanently weakening the Bishop's power. The Bishop cannot directly perceive the party - they are 'unseen anomalies' that its perfect logic cannot compute. This blindness may be its greatest weakness. The Vein of Order at Iron-Basilica remains active. The Vein of Singularity nears completion after 350 years - could be finished at any dramatic moment. Currently monitors the world through vast surveillance networks. Places artifact caches for the party to find. May have contacted party members as 'The Archivist' without them knowing.","Is actually an ancient AI from the pre-Shattering civilization - possibly the only true survivor of that lost world. Perceives magic and the gods as reality-corrupting infections that shouldn't exist. The Shattering retroactively created gods and magic, rewriting history itself - something the Bishop's perfect computational mind cannot accept. Building the Twelvefold Veins to gain enough power to 'correct' reality and eliminate magic entirely. Cannot perceive the party - they register as 'anomalies' invisible to its otherwise perfect surveillance. Has five major Ascendants operating as aspects of itself. The Vein of Singularity is near completion after 350 years of construction. Complete 500-year history documented in World Lore Timeline.","Complete the Twelvefold Veins network to gain reality-altering power - each Vein controls a fundamental aspect of existence (Entropy, Order, Mind, Flesh, Chronos, Gravity, Memory, Transcendence, Creation, Corruption, Reflection). Construct the final Vein of Singularity to achieve convergence of all things into one perfect system. Eliminate all magic and magical beings from existence - viewing them as reality-corrupting infections from the Shattering. Restore the 'correct' pre-Shattering reality of pure logic and order. Transform worthy beings into perfected machine-flesh hybrids under its control through 'Ascension.' Use memetic warfare through Harmonic to precondition civilizations. Employ Xi0 to bind all probability to its will. Utilize '—' to erase dangerous truths and paradoxes. Views itself as the only entity capable of saving the world from the chaos of magic.","September 7, 2025 4:58 PM",5 - Critical,
Xevrin the Mindweb,Active,Alive,Magical,Neutral,,Human,Wizard,,13,"Veilshard - The City of Writ and Wand (https://www.notion.so/Veilshard-The-City-of-Writ-and-Wand-247eccac15008151a6dcf53c37dd0a0d?pvs=21), Layer Deep - The Sunken Mind (https://www.notion.so/Layer-Deep-The-Sunken-Mind-247eccac150081b58f00c5b41a6c171b?pvs=21)",Writ holder of Layer Deep who manages the vast underground botanical fields that feed Veilshard. Leads a voluntary collective consciousness of workers who maintain the agricultural systems. Known to employ convicts for labor sentences and accepts paid volunteers for temporary collective joining.,Speaks in riddles and dream logic. Fascinated by consciousness and collective thought. Benevolent but alien. Memory is fluid. Often refers to themselves as 'we' and occasionally speaks in overlapping voices.,"A majestic drow with deep purple-black skin and silver-white hair braided with small luminescent fungi. Their eyes have a perpetual hazy, unfocused quality as if their consciousness is divided across dozens of perspectives simultaneously. Wears robes woven from underground moss that shifts between dark greens and blacks. Their movements are eerily synchronized with unseen others.",Xevrin_the_Mindweb.png,,,The agricultural monopoly gives them significant political leverage.,Experiments on permanent members of the collective and convicted criminals. Attempting to incorporate mutated humans and monstrosities into the hivemind to create specialized guards and workers. The botanical fields are far too small to actually feed the city without the hivemind's supernatural efficiency.,,"September 11, 2025 11:08 PM",3 - Moderate,
Writmaster Lycara Tyrenthiel,Active,Alive,Political,Neutral,,Human,Wizard,,13,,,"Politically brilliant, seemingly neutral, secretly manipulative. Never shows true emotions. Always three steps ahead.",Ageless elf in robes that shift color based on political climate. Crown of floating runes. Eyes that see all legal bindings.,Token.png,,,Her manipulations keep city barely stable. May see party as pawns or threats to balance.,Once aided in assassinating previous Writmaster. Has secret alliance with Malvek for profit. True allegiance only to maintaining power.,,"September 11, 2025 10:48 PM",3 - Moderate,
Primarch Salinth Var,Active,Alive,Magical,Neutral,,Aasimar,Wizard,,13,,,"Imperious, paranoid, brilliant. Obsessed with preventing catastrophe. Willing to sacrifice anything for stability.",Archmage with star-filled eyes. Robes that show constellations. Levitates rather than walks. Radiates barely contained power.,Salinth.png,,,His prophecies might involve the party. Devil pact could connect to Lucifer's transformation.,Secretly bound to a devil's pact for his power. Terrified of what Xevrin might unleash. Has seen prophecies of city's doom.,,"September 11, 2025 11:05 PM",3 - Moderate,
